x,psi_deg0,psi_deg1,psi_deg2,psi_deg3,psi_deg4,psi_deg5,psi_deg6,psi_infty
0.155963302752294,0.099661477574613,0.149396194827705,0.148419186433158,0.148847639356168,0.148874696527678,0.148826495885533,0.148886352401488,0.148888134559869
0.174311926605505,0.099661477574613,0.166972216290949,0.164011909299885,0.164695602418383,0.164550963608045,0.164584228873982,0.164589494613616,0.1645962710932
0.192660550458716,0.099661477574613,0.184548237754193,0.179211294023742,0.179989058234919,0.17970526983013,0.17981190063304,0.179765112382131,0.179776335939197
0.211009174311927,0.2598838158174,0.19848371876064,0.19398328831087,0.194672304196513,0.194318961964039,0.194481973948458,0.194391764955678,0.194406308950919
0.229357798165138,0.2598838158174,0.209992172795887,0.208187899397624,0.208729537403196,0.208379445063243,0.208575243705007,0.208454637306933,0.208470911623125
0.247706422018349,0.2598838158174,0.221500626831135,0.221809992931179,0.22217566983022,0.221878133597561,0.222080681535836,0.221944937254315,0.22196113006283
0.26605504587156,0.2598838158174,0.233009080866383,0.234849568911533,0.235026403546093,0.234809916595413,0.234994599409945,0.234859265953918,0.234873642784325
0.284403669724771,0.2598838158174,0.24451753490163,0.247306627338688,0.247297440619318,0.247173153956725,0.247319737003292,0.247199010571748,0.247210189076959
0.302752293577982,0.2598838158174,0.256025988936878,0.259181168212644,0.259004483118404,0.258969676452935,0.259064348923113,0.25896976178004,0.258976909872796
0.321100917431193,0.2598838158174,0.267534442972126,0.2704731915334,0.270163233111856,0.270204785726989,0.270241291932241,0.270180756079116,0.270183688098197
0.339449541284404,0.2598838158174,0.279042897007374,0.281182697300956,0.280789392668181,0.280887254293345,0.280867112173423,0.280844342944767,0.280843510063288
0.357798165137615,0.2598838158174,0.290551351042621,0.291309685515312,0.290898663855884,0.29102932553797,0.290961132393637,0.290975476801174,0.290971864036727
0.376146788990826,0.2598838158174,0.302059805077869,0.300854156176469,0.300506748743471,0.300646713718343,0.300544539168415,0.300591233819361,0.300586187139316
0.394495412844037,0.2598838158174,0.313568259113117,0.309816109284425,0.30962934939945,0.30975860396345,0.309639470126156,0.309710353541171,0.309705367301661
0.412844036697248,0.355323161821175,0.321491978750396,0.318252216993416,0.318282367793979,0.3183876071176,0.318268102609391,0.318352805332172,0.318349303383904
0.431192660550459,0.355323161821175,0.327879383645689,0.32632671289326,0.326483769604957,0.326558414721705,0.326451855107313,0.326539380334103,0.32653852367395
0.44954128440367,0.355323161821175,0.334266788540982,0.334050006155143,0.334252737987118,0.334295206510195,0.334211108667429,0.334291315271909,0.334293860824803
0.467889908256881,0.355323161821175,0.340654193436275,0.341422096779065,0.341608471830891,0.341621120874311,0.341565288438484,0.341629958371711,0.341636179781762
0.486238532110092,0.355323161821175,0.347041598331568,0.348442984765027,0.34857017002671,0.34855825333872,0.34853297683301,0.348576480676525,0.348586154286492
0.504587155963303,0.355323161821175,0.353429003226861,0.355112670113027,0.355157031465003,0.355127656561515,0.355132026710658,0.35515163289842,0.355164087022082
0.522935779816514,0.355323161821175,0.359816408122154,0.361431152823066,0.361388255036204,0.361349340334214,0.361379674561528,0.361375547807146,0.36138976828062
0.541284403669725,0.355323161821175,0.366203813017447,0.367398432895144,0.367283039630742,0.367242271581762,0.367292653689492,0.367267588155226,0.367282368102538
0.559633027522936,0.355323161821175,0.37259121791274,0.373014510329262,0.37286058413905,0.372824374362526,0.372887307395531,0.372846240139506,0.372860357078645
0.577981651376147,0.355323161821175,0.378978622808033,0.378279385125418,0.378140087451558,0.378112529868301,0.378179702161056,0.378129052399182,0.378141451359161
0.596330275229358,0.355323161821175,0.385366027703326,0.383193057283614,0.383140748458698,0.383122576424309,0.383185740831241,0.383132620550281,0.383142577830586
0.614678899082569,0.407625300203579,0.389477819805722,0.387808769214589,0.387881137965447,0.387869319804034,0.387921274952507,0.387872617233112,0.387879855864391
0.63302752293578,0.407625300203579,0.393020708709893,0.392236333390496,0.392375184832725,0.392366746013085,0.392402173409352,0.392363864788322,0.392368592484967
0.651376146788991,0.407625300203579,0.396563597614064,0.396479077462006,0.396634737388385,0.396628350517927,0.396644226773835,0.396620428213434,0.396623288230056
0.669724770642202,0.407625300203579,0.400106486518236,0.400537001429119,0.400671634146447,0.400667190263289,0.400662957149978,0.400655697672551,0.40065765137364
0.688073394495413,0.407625300203579,0.403649375422407,0.404410105291835,0.40449771362093,0.40449588371246,0.404473421599986,0.40448245226939,0.404484618542395
0.706422018348624,0.407625300203579,0.407192264326578,0.408098389050154,0.408124814325851,0.408126610847289,0.408090015569629,0.408112904816005,0.408116380079628
0.724770642201835,0.407625300203579,0.410735153230749,0.411601852704077,0.411564774775231,0.411571113168184,0.411526276313642,0.411558727597214,0.411564408794676
0.743119266055046,0.407625300203579,0.41427804213492,0.414920496253602,0.414829433483087,0.414840693694112,0.414794686321111,0.414831059130712,0.414839490982583
0.761467889908257,0.407625300203579,0.417820931039091,0.418054319698731,0.417930628963438,0.417946216962599,0.417906476740865,0.41794049192288,0.417951758810938
0.779816513761468,0.407625300203579,0.421363819943263,0.421003323039463,0.420880199730303,0.420898109029732,0.420871430806864,0.420897041220286,0.420910723351106
0.798165137614679,0.407625300203579,0.424906708847434,0.423767506275797,0.423689984297701,0.423706357470155,0.423697687263595,0.423710094756885,0.423725307683155
